#Name (cmd = mergePeaks 03_motif/cluster_2_homer_VS_bgPeaks/bg.clean.pos 03_motif/cluster_2_homer_VS_bgPeaks/target.clean..pos -d given -cobound 1 -prefix 03_motif/cluster_2_homer_VS_bgPeaks/0.112137839970277.2.tmp)	chr	start	end	strand	stat	stat2	03_motif/cluster_2_homer_VS_bgPeaks/target.clean..pos
BG971.866	10	39369201	39370350	+	1.31	0.000	971.866,1431.96_r2
BG971.867	1	93478101	93479000	+	2.12	0.000	3656.62,971.867,749.071
BG1909.28	1	61045901	61046600	+	6.14	0.000	1909.28,1220.54
BG833.468	11	95337151	95338300	+	1.58	0.000	1457.53_r3,833.468
BG833.469	13	43250251	43251200	+	1.93	0.000	4125.42
BG1653.58_r10	6	89042101	89043350	+	2.73	0.000	1653.58_r10,934.027_r5
BG1653.58_r11	7	43465551	43466250	+	5.28	0.000	1202.21_r9,1571.26_r3,1298.54_r7,1653.58_r11
BG1653.58_r12	7	127470951	127471650	+	5.46	0.000	1357.85_r5
BG1653.58_r13	7	139188001	139188900	+	3.75	0.000	1653.58_r13
BG1653.58_r14	8	124270901	124271800	+	2.90	0.000	1198.09_r2,1653.58_r14,931.031_r8
BG1653.58_r15	X	159829251	159829950	+	5.11	0.000	1653.58_r15,637.021_r14
BG1350.18	12	110504551	110505500	+	2.77	0.000	1350.18,1610.96_r4,702.358_r2
BG628.85	10	58323151	58324100	+	1.48	0.000	628.85
BG1781.43	1	135131851	135133450	+	2.39	0.000	1781.43,1148.98
BG1944.43	2	25574451	25575650	+	4.91	0.000	1944.43,1110.7_r1,3511.72
BG1067.97_r1	1	132010751	132011500	+	2.14	0.000	1642.3
BG1067.97_r2	10	80702301	80703100	+	2.14	0.000	1067.97_r2
BG1067.97_r3	11	96977451	96978150	+	3.36	0.000	767.693_r5,2650.83_r1,1070.42_r2,1067.97_r3,1054.25_r5
BG1067.97_r5	19	33100701	33102200	+	1.22	0.000	1739.56_r1
BG1067.97_r6	4	107879401	107880200	+	2.44	0.000	841.196_r5,1067.97_r6
BG1067.97_r7	4	151996301	151997400	+	3.05	0.000	2395.13_r2,816.696,1067.97_r7
BG2515.42	2	153161151	153161800	+	9.15	0.000	5421,833.468_r2
BG1020.87_r1	15	81585051	81586700	+	1.63	0.000	756.168_r4,1020.87_r1
BG1020.87_r2	18	34853951	34854900	+	1.96	0.000	1020.87_r2,3264.53_r1,697.246_r5
BG1020.87_r3	18	36701601	36702300	+	2.12	0.000	2028.61_r8,1020.87_r3
BG1020.87_r5	2	53191001	53192450	+	1.96	0.000	2608.22_r2,1227.55_r6,1020.87_r5
BG1020.87_r6	3	94953601	94954550	+	2.45	0.000	3997.56_r3,1020.87_r6,834.731_r3
BG1020.87_r7	4	126256101	126256900	+	2.61	0.000	1807_r14,1020.87_r7,702.833_r12
BG1020.87_r8	4	137853401	137854300	+	2.12	0.000	2335.46_r8
BG637.022_r1	1	160213051	160213600	+	2.12	0.000	637.022_r1
BG637.022_r2	10	81329001	81329700	+	1.80	0.000	637.022_r2
BG637.022_r3	10	93184401	93185450	+	1.47	0.000	1704.72_r2,637.022_r3
BG637.022_r4	10	118477001	118478000	+	1.14	0.000	647.346,637.022_r4
BG637.022_r5	11	4704301	4704950	+	1.96	0.000	1072.75,637.022_r5
BG637.022_r6	11	78175951	78177200	+	1.14	0.000	1846.23,2028.61_r3,637.022_r6,1627.61_r2
BG637.022_r7	11	98202601	98203550	+	1.31	0.000	637.022_r7
BG637.022_r8	12	78980801	78981600	+	1.47	0.000	883.833_r1,637.022_r8,665.841_r2
BG637.022_r9	12	83520401	83521300	+	1.63	0.000	1008.01_r4,637.022_r9
BG1135.21	15	100706251	100707000	+	2.61	0.000	1781.43_r6,883.833_r4,1135.21
BG2335.46_r11	9	50324051	50325200	+	5.80	0.000	758.32_r10
BG2258.75_r1	11	53841101	53842900	+	2.39	0.000	2258.75_r1
BG2258.75_r2	11	106165051	106166300	+	3.58	0.000	2258.75_r2,792.193_r1
BG2258.75_r4	13	117210751	117212100	+	6.14	0.000	2258.75_r4
BG2258.75_r6	8	116978101	116979050	+	5.11	0.000	2258.75_r6,675.088_r3,1772.23_r2
BG2258.75_r7	9	32506601	32508100	+	3.75	0.000	2258.75_r7
BG2258.75_r8	9	32539151	32540050	+	6.65	0.000	1102.54_r13,2258.75_r8,730.576_r16
BG610.354_r1	1	156037151	156038200	+	1.29	0.000	610.354_r1
BG610.354_r2	10	44457951	44459200	+	0.925	0.000	610.354_r2
BG610.354_r3	10	67048701	67049500	+	2.03	0.000	610.354_r3
BG610.354_r4	13	29985851	29986650	+	1.66	0.000	610.354_r4
BG610.354_r5	13	73736851	73737700	+	1.29	0.000	1559.82_r2,610.354_r5
BG610.354_r6	14	52103951	52104300	+	2.59	0.000	931.032,844.551_r2,2037.14_r3,610.354_r6
BG610.354_r7	14	73475851	73476850	+	1.48	0.000	610.354_r7,648.144_r5,1789.95_r6
BG610.354_r8	14	79532301	79533050	+	2.03	0.000	610.354_r8
BG610.354_r9	14	122063601	122064150	+	1.66	0.000	610.354_r9
BG2812.78	1	51576951	51578300	+	6.99	0.000	2812.78,675.089,1192.37
BG758.32_r1	1	138162451	138163550	+	2.22	0.000	758.32_r1
BG758.32_r2	10	61695151	61696000	+	1.85	0.000	1832.57,758.32_r2
BG758.32_r3	12	111038751	111039400	+	2.40	0.000	1037.2_r3,1764.38_r9,758.32_r3
BG758.32_r4	15	67039051	67039900	+	1.48	0.000	758.32_r4
BG758.32_r5	19	31337401	31338550	+	1.11	0.000	1457.53_r11,758.32_r5
BG758.32_r6	2	84715051	84715750	+	1.85	0.000	4372.6,2199.76
BG758.32_r7	2	144267151	144268250	+	2.22	0.000	758.32_r7
BG758.32_r8	4	150964701	150965350	+	2.40	0.000	758.32_r8,1968.95_r6
BG758.32_r9	8	128549651	128550300	+	1.66	0.000	1094.87_r2,1892.24_r12,758.32_r9
BG759.526_r1	11	49658601	49659450	+	1.31	0.000	759.526_r1
BG759.526_r3	14	50930551	50931850	+	1.31	0.000	942.755,860.045_r2,759.526_r3
BG759.526_r4	14	62760101	62761450	+	1.96	0.000	759.526_r4,903.473_r4
BG759.526_r5	14	65070851	65071600	+	2.12	0.000	759.526_r5
BG759.526_r6	17	94749201	94750850	+	0.817	0.000	759.526_r6,1491.63_r11
BG759.526_r7	18	20946051	20947000	+	2.12	0.000	1593.91_r7,759.526_r7
BG759.526_r8	18	75377401	75378400	+	1.47	0.000	656.594_r7,759.526_r8
BG759.526_r9	19	10747401	10749000	+	1.47	0.000	759.526_r9
BG1170.38	2	153161201	153161650	+	4.15	0.000	5421,833.468_r2
BG1276.65_r1	15	62169401	62171000	+	2.75	0.000	1276.65_r1,962.728
BG1276.65_r3	8	70754201	70755050	+	3.93	0.000	2130.9_r14,1276.65_r3
BG1276.65_r4	X	73914851	73915750	+	5.70	0.000	1276.65_r4
BG841.195_r10	5	137502551	137503250	+	1.47	0.000	841.195_r10,1900.76_r10
BG841.195_r13	7	45128701	45129050	+	4.08	0.000	1500.15_r19,841.195_r13
BG841.195_r14	9	40800551	40801550	+	1.63	0.000	841.195_r14,2207.61_r6,1178.44_r6
BG841.195_r15	X	103493201	103494300	+	1.47	0.000	841.195_r15,1747.33_r6
BG3435_r1	14	75178401	75179900	+	5.46	0.000	3435_r1,776.814_r2
BG1997.52	9	20651651	20652750	+	5.18	0.000	1997.52
BG1239.21_r1	18	65381451	65382550	+	3.70	0.000	1617.21_r1
BG1747.83_r1	7	30169401	30170350	+	4.99	0.000	1747.83_r1,653.356_r20
BG2003.04	1	13639151	13640200	+	3.92	0.000	2003.04,675.09
BG2003.35	14	75179001	75180200	+	5.11	0.000	3435_r1,776.814_r2
BG2172.41	18	82534251	82535550	+	4.41	0.000	2172.41,712.081_r5
BG6162.55	17	32349951	32351100	+	17.4	0.000	1433.77_r3
BG2335.46	1	97659301	97660050	+	5.80	0.000	2335.46,914.698_r1
BG3750.38	1	171388051	171389900	+	9.38	0.000	3750.38,915.531,792.194
BG2667.88	11	95309151	95310600	+	2.73	0.000	2667.88,1561.66,1174.47_r1,972.216_r1
BG2855.4	10	59577451	59579000	+	3.41	0.000	2855.4
BG1188.26	10	68039451	68040300	+	3.73	0.000	961.772
BG638.324_r10	8	64805151	64806050	+	1.37	0.000	721.328_r13,638.324_r10
BG3213.39_r1	11	70789301	70791950	+	3.07	0.000	3213.39_r1,710.524_r2
BG943.276_r1	10	122794401	122795650	+	2.22	0.000	687.426_r2,943.276_r1
BG943.276_r3	2	146496751	146498300	+	1.66	0.000	1977.47_r7,943.276_r3,628.503_r6
BG1517.2	11	72946201	72946900	+	5.11	0.000	1517.2
BG1764.06_r1	4	137592901	137594150	+	4.57	0.000	1764.06_r1
BG1764.06_r2	5	22549551	22551050	+	3.10	0.000	2540.03_r6,1764.06_r2,834.731_r5
BG1764.06_r3	5	72635601	72636900	+	2.78	0.000	1764.06_r3,1502.52
BG1764.06_r4	8	70212251	70212950	+	4.08	0.000	2071.51
BG1764.06_r5	9	79918901	79920050	+	3.10	0.000	1205.28_r15
BG860.046_r1	11	77800851	77802000	+	1.85	0.000	860.046_r1
BG860.046_r2	16	92867151	92867900	+	1.66	0.000	1011.5_r8,860.046_r2
BG860.046_r3	3	131208301	131209300	+	1.48	0.000	2190.56_r5
BG860.046_r4	6	128424551	128425650	+	1.66	0.000	860.046_r4
BG3051.44_r1	6	29467351	29468200	+	5.97	0.000	3051.44_r1
BG1286.47_r1	3	79152201	79153550	+	2.55	0.000	1286.47_r1
BG1286.47_r3	8	83566401	83567250	+	4.52	0.000	1494.55_r7
BG914.698_r1	1	97659451	97660050	+	2.94	0.000	2335.46,914.698_r1
BG914.698_r2	1	171762001	171762350	+	3.43	0.000	914.698_r2,2233.18
BG914.698_r3	1	176813651	176815350	+	1.31	0.000	914.698_r3,1568.34_r1
BG914.698_r4	1	183296551	183297800	+	1.96	0.000	765.988_r1
BG914.698_r5	10	19718301	19719150	+	2.12	0.000	914.698_r5
BG914.698_r6	10	80900351	80901500	+	1.63	0.000	914.698_r6,656.594_r1
BG914.698_r7	11	83657301	83658200	+	1.80	0.000	914.698_r7
BG914.698_r8	11	106788551	106790000	+	1.14	0.000	3784.47,914.698_r8
BG914.698_r9	13	96964751	96965500	+	1.96	0.000	914.698_r9
BG942.754_r1	9	69457001	69458350	+	1.37	0.000	942.754_r1,702.358_r8,878.54_r12
BG756.168_r1	11	54860551	54861100	+	2.55	0.000	1662.1_r4,756.168_r1,1167.87
BG756.168_r2	11	70021051	70022100	+	2.75	0.000	702.833_r3,756.168_r2
BG756.168_r3	12	83921801	83923100	+	1.18	0.000	1118.87_r3,756.168_r3
BG756.168_r4	15	81584701	81585700	+	1.18	0.000	756.168_r4,1020.87_r1
BG756.168_r5	18	39281601	39282700	+	1.18	0.000	2130.9_r7,756.168_r5,758.319_r8
BG756.168_r6	18	75214801	75216000	+	1.57	0.000	756.168_r6
BG756.168_r7	19	34119901	34120800	+	1.57	0.000	756.168_r7
BG756.168_r8	7	75455051	75455950	+	1.96	0.000	758.319_r13,1143.37_r2,756.168_r8
BG756.168_r9	8	106007001	106007700	+	1.77	0.000	756.168_r9,1755.86_r16
BG1909.28_r10	8	70673201	70674050	+	5.63	0.000	1617.05_r1,952.522_r4,1909.28_r10
BG1909.28_r11	9	64810651	64812000	+	5.11	0.000	1682.39_r5,1909.28_r11,1008.01_r22
BG1909.28_r12	9	66126101	66127250	+	4.09	0.000	1909.28_r12,1176.04_r13
BG3307.15_r1	3	9753751	9755600	+	6.99	0.000	3307.15_r1,1217.72_r2
BG3307.15_r2	4	6444951	6446450	+	3.24	0.000	2033.57,3307.15_r2
BG922.865_r1	1	175692401	175693350	+	2.78	0.000	677.605,922.865_r1,2003.04_r3,656.593
BG922.865_r2	11	97123501	97124700	+	1.96	0.000	952.575,922.865_r2
BG922.865_r3	12	102627501	102628550	+	1.80	0.000	2079.76_r1,1283.64,913.293_r2,922.865_r3
BG922.865_r4	12	113155601	113156750	+	2.12	0.000	922.865_r4,1517.2_r3,693.585_r3
BG922.865_r5	14	54518051	54519250	+	1.47	0.000	922.865_r5,841.549_r1
BG922.865_r7	15	12010051	12011550	+	1.14	0.000	922.865_r7,805.27_r1,1091.24_r6
BG922.865_r8	16	24222801	24223850	+	1.96	0.000	922.865_r8,638.098_r11
BG922.865_r9	18	50014351	50014800	+	3.43	0.000	922.865_r9
BG1633.39_r2	5	34573001	34574050	+	4.08	0.000	952.576_r2
BG2091.74	9	117926351	117927350	+	6.48	0.000	859.195_r2
BG2633.79_r1	15	59761751	59762900	+	5.11	0.000	1142.06_r1,804.558_r3
BG2633.79_r2	3	115758251	115759800	+	3.58	0.000	2633.79_r2,1559.89_r2,1276.2
BG2633.79_r3	4	97831101	97832350	+	5.11	0.000	2633.79_r3
BG2633.79_r4	7	28810251	28811100	+	5.80	0.000	824.862_r7
BG656.594_r1	10	80900401	80901200	+	1.85	0.000	914.698_r6,656.594_r1
BG656.594_r2	11	34771101	34771800	+	1.85	0.000	2122.37_r2,656.594_r2
BG656.594_r3	12	86833201	86834700	+	0.925	0.000	656.594_r3
BG656.594_r4	13	63189251	63190150	+	1.48	0.000	1340.27_r1
BG656.594_r5	15	50399901	50400800	+	1.66	0.000	964.942,1188.26_r2,656.594_r5,2130.9_r6,677.856_r6
BG656.594_r6	17	88112051	88113050	+	1.11	0.000	5787.52,1257.71_r4,656.594_r6
BG656.594_r7	18	75377151	75377950	+	1.48	0.000	656.594_r7,759.526_r8
BG656.594_r8	2	39190501	39191400	+	1.85	0.000	844.551_r4,656.594_r8
BG656.594_r9	2	117331551	117332200	+	1.48	0.000	656.594_r9
BG5207.91	7	45813951	45815200	+	13.8	0.000	3944.64
BG2090.17_r1	13	60839051	60839950	+	5.19	0.000	2090.17_r1
BG2090.17_r2	9	69297601	69298600	+	5.49	0.000	1592.56_r1
BG1128.23_r10	5	21248651	21249600	+	2.59	0.000	1128.23_r10,1653.58_r9,736.526
BG1128.23_r13	7	75656401	75657100	+	2.03	0.000	1266.83_r7
BG1128.23_r14	8	117074451	117075050	+	3.33	0.000	1208.13_r3
BG1128.23_r15	9	32661401	32662250	+	2.59	0.000	808.527_r13,1128.23_r15
BG1128.23_r16	9	69034301	69034950	+	3.51	0.000	1551.62_r1
BG1414.92_r10	2	84678001	84678500	+	4.94	0.000	1414.92_r10,647.346_r14
BG1414.92_r11	4	134128101	134129650	+	1.88	0.000	1414.92_r11
BG1414.92_r12	4	155992451	155993750	+	2.56	0.000	1414.92_r12
BG1414.92_r13	5	3355501	3356550	+	3.92	0.000	712.081_r8,1414.92_r13,896.659_r5
BG1414.92_r14	7	66233201	66234050	+	3.24	0.000	1414.92_r14,1183.72_r7
BG1414.92_r15	7	97332051	97332950	+	3.58	0.000	1414.92_r15,939.198_r3
BG638.098_r11	16	24222801	24224000	+	0.925	0.000	922.865_r8,638.098_r11
BG638.098_r12	18	82825301	82826600	+	1.11	0.000	638.098_r12,971.866_r4
BG638.098_r13	2	180709701	180710150	+	1.85	0.000	638.098_r13
BG638.098_r14	3	19894151	19894750	+	1.48	0.000	638.098_r14
BG638.098_r15	3	20104601	20105050	+	2.22	0.000	1525.72_r8,638.098_r15
BG638.098_r16	3	95673051	95673550	+	2.59	0.000	3716.28_r2,638.098_r16
BG638.098_r17	3	100488601	100489650	+	1.29	0.000	784.027_r17,638.098_r17
BG638.098_r18	4	11721451	11721850	+	2.40	0.000	638.098_r18
BG638.098_r19	5	21370201	21371350	+	1.48	0.000	1113.74_r11
BG638.098_r20	5	134236051	134237200	+	1.48	0.000	638.098_r20,2105.33_r7,628.856_r1
BG638.098_r21	5	138085451	138085900	+	2.22	0.000	638.098_r21
BG638.098_r23	6	113696301	113697400	+	1.29	0.000	1730.29_r17,638.098_r23
BG638.098_r24	6	124730001	124730450	+	1.66	0.000	638.098_r24
BG638.098_r25	7	27486401	27487400	+	1.48	0.000	638.098_r25
BG638.098_r26	7	44986251	44986850	+	2.59	0.000	1951.9_r10,1674.22_r4,638.098_r26,1296.29_r4
BG638.098_r27	9	60998551	61000000	+	1.11	0.000	638.098_r27
BG1380.21_r1	5	24841801	24842650	+	4.25	0.000	1380.21_r1,648.144_r11
BG1380.21_r2	5	130171151	130173050	+	1.47	0.000	1380.21_r2,2139.42_r7
BG953.29_r1	11	34783201	34784750	+	1.51	0.000	1807_r2,1094.37_r2,924.78,953.29_r1
BG953.29_r2	17	52168351	52169100	+	2.27	0.000	800.36_r5,953.29_r2
BG953.29_r4	4	45011551	45013050	+	1.32	0.000	953.29_r4,1516.64_r1,1110.7_r2,883.833_r5,2079.76_r3
BG953.29_r5	8	35633101	35635250	+	0.944	0.000	953.29_r5,1443.59_r5,2753.12_r6
BG749.072_r10	7	28741551	28742300	+	1.85	0.000	749.072_r10
BG749.072_r11	7	116333901	116334950	+	1.85	0.000	749.072_r11
BG749.072_r12	9	67901651	67902500	+	1.66	0.000	1457.53_r23,749.072_r12
BG749.072_r13	X	73966501	73967300	+	1.66	0.000	1788.56_r2,2412.17_r2,1052.71_r10
BG1217.72_r2	3	9754601	9755600	+	2.16	0.000	3307.15_r1,1217.72_r2
BG1217.72_r4	5	77251851	77252850	+	2.75	0.000	1217.72_r4,3238.96_r2,751.359_r11,971.017_r1
BG1217.72_r5	6	39378901	39380300	+	1.77	0.000	2334.28
BG1747.33	12	52602601	52603900	+	3.75	0.000	1747.33
BG1747.34	10	95008601	95009850	+	2.90	0.000	1747.34
BG1747.83	18	75455151	75456050	+	4.07	0.000	1977.47_r6,1747.83,726.707_r4
BG2173.51_r10	8	106058801	106059450	+	5.46	0.000	906.097_r8,2173.51_r10,1155.97_r6
BG2173.51_r11	X	101733751	101734200	+	8.01	0.000	2173.51_r11
BG981.605	1	62875251	62876500	+	1.51	0.000	1098.48
BG1387.17_r1	12	36156751	36158150	+	2.77	0.000	1387.17_r1
BG981.606	2	52742051	52744100	+	0.944	0.000	784.026_r5,981.606,2361.03_r6
BG2727.55_r1	2	52318651	52319900	+	6.65	0.000	2727.55_r1,1151.54_r7
BG1227.01_r1	11	75678101	75679250	+	3.40	0.000	1227.01_r1
BG1227.01_r2	14	20177251	20178750	+	1.89	0.000	972.217,1227.01_r2,1363.88
BG1227.01_r3	5	120775201	120776400	+	3.78	0.000	4270.31
BG767.566_r1	4	32149101	32149800	+	2.03	0.000	767.566_r1,1143.37
BG3291.28	16	92824901	92826450	+	4.74	0.000	842.241
BG684.336_r1	14	57888701	57889250	+	2.03	0.000	684.336_r1
BG684.336_r2	4	120569951	120570450	+	2.22	0.000	1132.62_r3
BG684.336_r3	8	107030801	107031250	+	2.59	0.000	684.336_r3
BG1846.06	14	31398951	31400200	+	3.36	0.000	924.974_r1,988.2_r4
BG1846.23	11	78175751	78176700	+	5.89	0.000	1846.23,2028.61_r3,637.022_r6,1627.61_r2
BG5821.61_r1	8	72330601	72332250	+	16.0	0.000	5821.61_r1
BG1140.54_r1	14	19984351	19985750	+	1.93	0.000	1140.54_r1,1035.75_r5,1001.68_r1
BG1037.45	3	130708901	130709700	+	1.83	0.000	1037.45,1118.87_r8
BG1037.46	10	20311501	20312650	+	2.14	0.000	2693.45,962.396
BG1378.02_r1	10	84576251	84577800	+	1.70	0.000	784.027_r4,1340.93,1670.62_r4,1378.02_r1
BG1378.02_r2	19	33222601	33224650	+	1.51	0.000	1378.02_r2,739.823_r15
BG1378.02_r5	8	47674751	47675500	+	4.72	0.000	2494.37_r1
BG1378.02_r6	8	126847201	126848900	+	1.70	0.000	751.359_r16,1840.31,1388.36_r4
BG1136.78	7	74690201	74691500	+	1.98	0.000	1132.62_r4
BG3324.2	10	127162701	127163900	+	8.52	0.000	3324.2
BG1057.11_r1	7	44996951	44997950	+	1.51	0.000	735.025_r17
BG776.814_r1	11	97141901	97142750	+	1.85	0.000	1916.02_r1,776.814_r1,1500.15_r4
BG776.814_r2	14	75179451	75180150	+	2.22	0.000	3435_r1,776.814_r2
BG767.567_r10	6	125191401	125192500	+	1.85	0.000	815.09_r5,2011.57_r8,767.567_r10
BG767.567_r11	7	25278451	25279500	+	1.29	0.000	1593.91_r16,767.567_r11
BG767.567_r12	7	113513401	113514100	+	2.22	0.000	808.527_r12,767.567_r12
BG767.567_r13	7	114068951	114069550	+	2.77	0.000	1437.38_r4
BG767.567_r14	9	32928451	32929150	+	2.59	0.000	1143.37_r5,767.567_r14
BG767.567_r15	9	44767201	44767900	+	2.22	0.000	767.567_r15
BG767.567_r16	9	119322451	119323500	+	1.29	0.000	1069.87_r11,834.731_r7,767.567_r16
BG767.567_r17	X	166510201	166510600	+	2.22	0.000	767.567_r17
BG1072.74	12	81971501	81973000	+	2.77	0.000	1072.74
BG1072.75	11	4704101	4705000	+	2.22	0.000	1072.75,637.022_r5
BG1235.79	10	118419051	118419800	+	2.14	0.000	1670.62_r5,1235.79
BG610.355_r1	10	12868151	12869200	+	1.48	0.000	2173.51,808.528,610.355_r1
BG610.355_r2	10	60351651	60352450	+	1.11	0.000	1527.22,2156.47_r1,610.355_r2
BG610.355_r3	11	46436551	46437300	+	1.48	0.000	610.355_r3,2173.52,914.697_r2
BG610.355_r4	11	97128751	97129800	+	1.29	0.000	610.355_r4,1483.1_r7,653.355_r4
BG610.355_r5	11	117319051	117319350	+	2.40	0.000	669.689_r6,610.355_r5,697.247
BG610.355_r6	12	84407501	84408400	+	1.66	0.000	1047.68
BG610.355_r7	12	85455401	85456000	+	1.66	0.000	694.19_r4,1892.24_r4,610.355_r7
BG610.355_r8	14	55671851	55672450	+	1.66	0.000	610.355_r8
BG610.355_r9	15	66445051	66446250	+	1.11	0.000	2180.57_r1
BG3452.05_r1	17	64331601	64332550	+	10.2	0.000	833.029_r4,906.284_r8
BG3452.05_r2	19	43674601	43675800	+	9.03	0.000	779.884
BG3452.05_r3	3	107333051	107334450	+	6.31	0.000	1086.2_r14,1137.48_r7,3452.05_r3,1178.44_r1
BG2650.83	1	88654401	88655650	+	6.99	0.000	1472.41,1054.25_r2
BG2650.84	4	148139851	148141100	+	5.28	0.000	2650.84
BG5557.38	5	115488551	115490600	+	8.69	0.000	1394.49_r7
BG759.527_r1	1	180398251	180399150	+	2.12	0.000	759.527_r1
BG759.527_r2	19	53441251	53441950	+	1.96	0.000	906.284_r11,759.527_r2
BG759.527_r3	6	108535201	108536000	+	2.12	0.000	759.527_r3
BG3716.28	10	118470001	118471350	+	9.21	0.000	1085.43_r1
BG2466.42_r2	7	63938651	63940100	+	4.57	0.000	8659.96
BG1998.63	2	30124201	30124850	+	4.58	0.000	963.7_r5
BG2237.74	12	8921601	8922550	+	5.06	0.000	2237.74
BG2173.51	10	12867601	12869950	+	2.73	0.000	2173.51,808.528,610.355_r1
BG2173.52	11	46436551	46438250	+	2.56	0.000	610.355_r3,2173.52,914.697_r2
BG721.327_r1	18	34751251	34752000	+	2.96	0.000	756.169_r1,721.327_r1,1457.53_r9
BG721.327_r2	6	86848951	86849550	+	2.40	0.000	1662.1_r15,669.69_r17,721.327_r2
BG1296.82_r2	8	124317651	124318800	+	2.44	0.000	7568.95,1296.82_r2
BG2872.45_r2	19	3999951	4001000	+	6.99	0.000	1797.13_r1,1494.55_r3
BG2872.45_r3	4	134733901	134735100	+	5.97	0.000	813.806_r10
BG2872.45_r5	8	4253051	4254050	+	7.33	0.000	730.577_r4,2872.45_r5
BG1281.56_r1	11	108268301	108268950	+	3.05	0.000	1217.57_r4
BG1281.56_r2	14	47361351	47362450	+	2.44	0.000	3290.1,1281.56_r2,739.825_r1
BG1281.56_r3	2	85013851	85014200	+	4.58	0.000	934.413_r1,1510.88_r2
BG1281.56_r4	3	75556451	75557550	+	2.75	0.000	2995.21,3107.26,3588.43_r1,1281.56_r4
BG1281.56_r6	8	72351451	72352450	+	2.44	0.000	3588.43_r2,1274.2_r3,1281.56_r6
BG1281.56_r7	9	59655801	59656950	+	2.14	0.000	1281.56_r7,1892.24_r14
BG751.359	11	58977251	58978500	+	1.47	0.000	647.346_r3,751.359
BG1721.76_r10	9	43095601	43096500	+	4.77	0.000	1721.76_r10
BG1721.76_r11	9	110476101	110477950	+	2.22	0.000	980.267_r2,1721.76_r11,677.856_r20
BG3204.87	6	95711501	95712650	+	8.18	0.000	3204.87,832.302_r12
BG1440.49_r10	2	11192301	11193850	+	2.05	0.000	1440.49_r10
BG1440.49_r11	2	166650251	166650900	+	3.24	0.000	1031.14_r9
BG1440.49_r12	7	45017151	45018000	+	4.26	0.000	1440.49_r12,832.302_r14
BG1440.49_r13	7	47022351	47023650	+	2.39	0.000	1086.2_r17,1440.49_r13
BG1440.49_r14	8	71610551	71611500	+	3.75	0.000	1440.49_r14
BG1440.49_r15	9	7763301	7764800	+	2.39	0.000	1440.49_r15,1813.06_r2,878.54_r11
BG1440.49_r16	9	61663651	61664550	+	4.09	0.000	1440.49_r16
BG1440.49_r17	X	20961301	20962100	+	2.73	0.000	1440.49_r17
BG972.216_r1	11	95309751	95310550	+	1.57	0.000	2667.88,1561.66,1174.47_r1,972.216_r1
BG972.216_r2	13	65240551	65241500	+	1.96	0.000	972.216_r2
BG972.216_r3	14	68035051	68035900	+	1.96	0.000	972.216_r3
BG972.216_r4	14	78458601	78459750	+	1.77	0.000	3008.82_r1,972.216_r4
BG972.216_r5	17	35164601	35165950	+	1.57	0.000	1200.54_r2,972.216_r5,1636.53_r3
BG972.216_r6	19	53442801	53443600	+	2.95	0.000	1128.99
BG972.216_r7	2	117432701	117433650	+	2.16	0.000	2028.61_r10,1527.22_r2,972.216_r7,860.045_r9
BG972.216_r8	3	131208201	131209000	+	2.16	0.000	2190.56_r5
BG972.216_r9	5	32133351	32134450	+	1.57	0.000	972.216_r9
BG914.699_r1	2	79120501	79121300	+	2.78	0.000	914.699_r1
BG914.699_r2	9	108517601	108518450	+	2.12	0.000	2855.4_r4,914.699_r2
BG914.699_r3	X	152342401	152343350	+	1.96	0.000	1198.69_r4,1696.19_r17,914.699_r3
BG2966.21_r1	17	57125551	57127050	+	6.14	0.000	2966.21_r1,1188.26_r3,628.854_r4,1257.7_r4
BG2966.21_r3	6	114659601	114660650	+	7.16	0.000	978.161_r1,2966.21_r3,686.023_r14
BG2966.21_r4	9	80163701	80165250	+	6.82	0.000	2966.21_r4,934.027_r7
BG942.755_r1	7	72314201	72314900	+	2.95	0.000	1720.09_r3,1321.39_r1,3128.15_r1
BG942.755_r2	9	7836851	7837550	+	2.16	0.000	996.368_r1
BG942.755_r3	9	123937901	123939000	+	1.57	0.000	1542.77_r19,942.755_r3
BG756.169_r1	18	34751101	34751900	+	1.77	0.000	756.169_r1,721.327_r1,1457.53_r9
BG756.169_r2	4	101292551	101293350	+	1.96	0.000	756.169_r2
BG1225.04_r11	6	71271101	71272000	+	1.96	0.000	813.806_r13,1225.04_r11
BG1225.04_r14	8	94666401	94667550	+	2.61	0.000	693.585_r18,1225.04_r14
BG4653.88_r1	2	158717551	158719950	+	7.50	0.000	4653.88_r1
BG710.523_r1	17	47682751	47683400	+	2.45	0.000	2565.6_r1,710.523_r1
BG710.523_r2	18	56398951	56399850	+	1.14	0.000	710.523_r2
BG1934.85_r1	17	34210301	34211100	+	5.63	0.000	906.097_r3,1118.87_r5
BG1934.85_r2	18	79079601	79080400	+	4.26	0.000	1934.85_r2,677.856_r10
BG1934.85_r4	6	117936901	117937700	+	5.63	0.000	1934.85_r4
BG878.541	10	119240201	119240850	+	1.66	0.000	890.197_r1
BG878.542	1	69768701	69769400	+	2.59	0.000	878.542
BG1037.2_r10	6	73248151	73248800	+	3.43	0.000	1807_r15,1037.2_r10
BG3059.97	11	98549951	98552000	+	3.24	0.000	3059.97
BG1730.29	1	135267851	135269100	+	4.09	0.000	1730.29,645.189_r1
